,company,ticker,occurance,profit ($ millions),revenue ($ millions),year,Industry
102,Northwestern Mutual,NWE,25,1828.8,29331,2019,Financials
83,Nucor,NUE,31,2360.8,25067.3,2019,Materials
33,Occidental Petroleum,OXY,31,6857,25898,2019,Energy
155,Office Depot,ODP,25,529,16096,2019,Consumer Discretionary
159,OfficeMax,OMX,33,416.8,13270.2,2013,Consumer Discretionary
163,Owens & Minor,OMI,25,115.2,9838.7,2019,Health Care
26,Owens Corning,OC,31,8075,7057,2019,Industrials
121,Owens-Illinois,OI,31,1340.6,8134.1,2019,Industrials
87,Paccar,PCAR,31,2195.1,23495.7,2019,Industrials
15,PepsiCo,PEP,31,12515,66683,2019,Consumer Staples
8,Pfizer,PFE,31,22003,67932,2019,Health Care
152,Pitney Bowes,PBI,25,636.2,6262.3,2013,Information Technology
59,PPG Industries,PPG,31,3231,15849,2019,Materials
99,PPL,PPL,25,1902,12756,2019,Utilities
107,Praxair,PX,25,1755,12273,2018,Industrials
12,Procter & Gamble,PG,31,15326,85120,2019,Consumer Staples
73,Progressive,PGR,25,2615.3,31979,2019,Financials
110,Public Service Enterprise Group,PEG,25,1679,13741,2019,Utilities
82,Publix Super Markets,PUSH,25,2381.2,36395.7,2019,Consumer Staples
160,R.R. Donnelley & Sons,RRD,31,400.6,11603,2019,Communication Services
67,Raytheon,RTN,31,2909,27058,2019,Industrials
93,Rite Aid,RAD,25,2109,32845.1,2019,Consumer Staples
115,Rockwell Automation,ROK,31,1487.8,14343,2019,Industrials
144,Ryder System,R,25,790.6,8409.2,2019,Industrials
68,Sealed Air,SEE,27,2857.7,7921.6,2018,Materials
106,Sherwin-Williams,SHW,31,1772.3,17534.5,2019,Materials
78,Southern,SO,25,2448,23495,2019,Utilities
54,Southwest Airlines,LUV,25,3488,21965,2019,Industrials
69,SunTrust Banks,STI,25,2775,13464.6,2019,Financials
151,Supervalu,SVU,25,650,44564,2019,Consumer Staples
118,Sysco,SYY,25,1430.8,58727.3,2019,Consumer Staples
56,Target,TGT,25,3363,75356,2019,Consumer Discretionary
161,Tech Data,TECD,25,340.6,37239,2019,Information Technology
129,Tenet Healthcare,THC,25,1143,21070,2019,Health Care
37,Texas Instruments,TXN,31,5580,15784,2019,Information Technology
86,Textron,TXT,31,2226,14806,2019,Industrials
125,Thrivent Financial for Lutherans,,25,1233.9,8789,2019,Financials
34,Time Warner,TWX,25,6552,46984,2018,Communication Services
62,TJX,TJX,25,3059.8,38972.9,2019,Consumer Discretionary
64,Tyson Foods,TSN,31,3024,41373,2019,Consumer Staples
30,U.S. Bancorp,USB,30,7096,25775,2019,Financials
19,Union Pacific,UNP,25,10712,23988,2019,Industrials
29,United Technologies,UTX,31,7608,66501,2019,Industrials
16,UnitedHealth Group,UNH,25,11986,226247,2019,Health Care
39,Valero Energy,VLO,29,5463,138286,2019,Energy
126,VF,VFF,31,1232,12862.3,2019,Consumer Discretionary
81,Viacom,VIAB,25,2395,27054.8,2019,Communication Services
143,W.W. Grainger,GWW,25,802,11221,2019,Industrials
97,Waste Management,WM,25,1949,14914,2019,Industrials
5,Wells Fargo,WFC,25,23057,101060,2019,Financials
103,Weyerhaeuser,WY,31,1826,23000,2019,Real Estate
139,Whirlpool,WHR,31,888,21253,2019,Consumer Discretionary
88,Williams,WMB,25,2174,19245.7,2019,Energy
117,Xerox,XRX,31,1452,22626,2019,Information Technology
