Dean Foods,34
OfficeMax,33
General Electric,31
Merck,31
Eli Lilly,31
Illinois Tool Works,31
Johnson & Johnson,31
Sherwin-Williams,31
Altria Group,31
General Motors,31
Goodyear Tire & Rubber,31
Avery Dennison,31
Owens-Illinois,31
Rockwell Automation,31
Emerson Electric,31
United Technologies,31
Northrop Grumman,31
Masco,31
Intel,31
Kellogg,31
3M,31
Weyerhaeuser,31
Coca-Cola,31
PPG Industries,31
Berkshire Hathaway,31
Caterpillar,31
Nucor,31
R.R. Donnelley & Sons,31
Campbell Soup,31
Ford Motor,31
Exxon Mobil,31
Occidental Petroleum,31
Archer Daniels Midland,31
Whirlpool,31
Paccar,31
Procter & Gamble,31
General Mills,31
Colgate-Palmolive,31
Baxter International,31
Becton Dickinson,31
General Dynamics,31
Xerox,31
Lockheed Martin,31
Boeing,31
PepsiCo,31
Deere,31
Abbott Laboratories,31
Cummins,31
Owens Corning,31
ConocoPhillips,31
Kimberly-Clark,31
Bristol-Myers Squibb,31
Dover,31
Pfizer,31
Texas Instruments,31
Textron,31
International Paper,31
Tyson Foods,31
Raytheon,31
VF,31
Hormel Foods,31
Crown Holdings,31
Corning,30
Avon Products,30
Lear,30
U.S. Bancorp,30
Alcoa,30
Baker Hughes,29
Marathon Oil,29
Mattel,29
DuPont,29
Valero Energy,29
Navistar International,29
Ball,29
Dow Chemical,29
Monsanto,29
Applied Materials,28
ConAgra Foods,28
Johnson Controls,28
Ashland,28
Danaher,27
CBS,27
H.J. Heinz,27
Coca-Cola Enterprises,27
Sealed Air,27
Hewlett-Packard,26
Gannett,26
Clorox,26
UnitedHealth Group,25
New York Life Insurance,25
NCR,25
Gap,25
Edison International,25
Humana,25
Microsoft,25
Rite Aid,25
First Data,25
Genuine Parts,25
Pitney Bowes,25
Owens & Minor,25
AT&T,25
Marsh & McLennan,25
Nationwide,25
Tech Data,25
Consolidated Edison,25
Southern,25
W.W. Grainger,25
Williams,25
CenterPoint Energy,25
Arrow Electronics,25
Eastman Chemical,25
DTE Energy,25
American Electric Power,25
Loews,25
Entergy,25
AmerisourceBergen,25
Office Depot,25
Halliburton,25
Kroger,25
CMS Energy,25
Viacom,25
Avnet,25
American Express,25
Wells Fargo,25
Southwest Airlines,25
Cigna,25
Publix Super Markets,25
Norfolk Southern,25
Citigroup,25
Progressive,25
TJX,25
Target,25
Foot Locker,25
Graybar Electric,25
CSX,25
Time Warner,25
Thrivent Financial for Lutherans,25
PPL,25
Best Buy,25
McKesson,25
Duke Energy,25
Exelon,25
Public Service Enterprise Group,25
Union Pacific,25
FedEx,25
Praxair,25
Tenet Healthcare,25
Nike,25
J.C. Penney,25
SunTrust Banks,25
Newell Rubbermaid,25
Supervalu,25
Nordstrom,25
Lincoln National,25
Home Depot,25
Morgan Stanley,25
Delta Air Lines,25
Ryder System,25
Waste Management,25
Northwestern Mutual,25
Cardinal Health,25
McGraw-Hill,25
Sysco,25
MetLife,25
FirstEnergy,24
Allstate,24
Principal Financial,24
Harley-Davidson,24
Parker Hannifin,24
Eaton,24
PG&E Corp.,24
Eastman Kodak,24
Cisco Systems,24
Oracle,24
Aetna,24
Bank of America Corp.,24
Comcast,24
Sara Lee,24
Aramark,24
Sunoco,24
Smithfield Foods,23
Micron Technology,23
Computer Sciences,23
Fortune Brands,23
Omnicom Group,23
Pacific Life,23
Smurfit-Stone Container,23
Amgen,23
Xcel Energy,23
Darden Restaurants,23
